species_code,English name
westra1,Western Tragopan
sattra1,Satyr Tragopan
blytra1,Blyth's Tragopan
temtra1,Temminck's Tragopan
cabtra1,Cabot's Tragopan
verpar1,Chestnut-throated Monal-Partridge
szepar1,Buff-throated Monal-Partridge
himmon1,Himalayan Monal
sclmon1,Sclater's Monal
chimon1,Chinese Monal
kokphe1,Koklass Pheasant
wiltur,Wild Turkey
ocetur1,Ocellated Turkey
rufgro,Ruffed Grouse
hazgro1,Hazel Grouse
sevgro1,Chinese Grouse
saggro,Greater Sage-Grouse
gusgro,Gunnison Sage-Grouse
dusgro,Dusky Grouse
soogro1,Sooty Grouse
shtgro,Sharp-tailed Grouse
grpchi,Greater Prairie-Chicken
lepchi,Lesser Prairie-Chicken
whtpta1,White-tailed Ptarmigan
wilpta,Willow Ptarmigan
rocpta1,Rock Ptarmigan
sibgro2,Siberian Grouse
sprgro,Spruce Grouse
wescap1,Western Capercaillie
blbcap1,Black-billed Capercaillie
blagro1,Black Grouse
caugro1,Caucasian Grouse
lobpar3,Long-billed Partridge
lobpar2,Dulit Partridge
tibpar1,Tibetan Partridge
grypar,Gray Partridge
daupar1,Daurian Partridge
copphe1,Copper Pheasant
reephe1,Reeves's Pheasant
mikphe1,Mikado Pheasant
ellphe1,Elliot's Pheasant
humphe1,Mrs. Hume's Pheasant
golphe,Golden Pheasant
laaphe1,Lady Amherst's Pheasant
rinphe1,Ring-necked Pheasant
rinphe2,Green Pheasant
chephe1,Cheer Pheasant
whieap2,Tibetan Eared-Pheasant
whieap1,White Eared-Pheasant
brephe1,Brown Eared-Pheasant
blephe1,Blue Eared-Pheasant
edwphe1,Edwards's Pheasant
swiphe1,Swinhoe's Pheasant
bulphe1,Bulwer's Pheasant
kalphe,Kalij Pheasant
silphe,Silver Pheasant
crefir5,Malayan Crestless Fireback
crefir6,Bornean Crestless Fireback
siafir1,Siamese Fireback
salphe1,Salvadori's Pheasant
crefir3,Malayan Crested Fireback
crefir4,Bornean Crested Fireback
crearg1,Vietnamese Crested Argus
crearg3,Malayan Crested Argus
grearg1,Great Argus
conpea1,Congo Peacock
compea,Indian Peafowl
grepea1,Green Peafowl
scbpar1,Scaly-breasted Partridge
chnpar1,Chestnut-necklaced Partridge
chnpar3,Sabah Partridge
crhpar1,Crimson-headed Partridge
redspu1,Red Spurfowl
paispu1,Painted Spurfowl
ceyspu1,Sri Lanka Spurfowl
palpep1,Palawan Peacock-Pheasant
bopphe1,Bornean Peacock-Pheasant
mapphe1,Malayan Peacock-Pheasant
gepphe1,Germain's Peacock-Pheasant
grypep3,Hainan Peacock-Pheasant
grypep2,Gray Peacock-Pheasant
mopphe1,Mountain Peacock-Pheasant
btpphe1,Bronze-tailed Peacock-Pheasant
mobpar1,Mountain Bamboo-Partridge
chbpar3,Chinese Bamboo-Partridge
taibap1,Taiwan Bamboo-Partridge
grejun1,Green Junglefowl
redjun,Red Junglefowl
grejun2,Gray Junglefowl
ceyjun1,Sri Lanka Junglefowl
forfra2,Latham's Francolin
crefra2,Crested Francolin
gryfra,Gray Francolin
swafra1,Swamp Francolin
chifra1,Chinese Francolin
blkfra,Black Francolin
